user_id,show_id,rating,title
1,5724,1.8,"Dana Carvey: Straight White Male, 60"
1,4004,2.6,Edoardo Ferrario: Temi Caldi
1,4861,3.3,Lupin the 3rd: The Castle of Cagliostro: Special Edition
1,2079,3.0,The Smurfs
1,320,4.4,Top Secret UFO Projects: Declassified
1,6528,1.2,Conor McGregor: Notorious
1,2373,4.4,Saladin
1,4866,4.9,Carlos Ballarta: Furia Ñera
1,4252,3.8,A Twelve Year Night
1,5901,4.6,Tig
1,8220,3.9,The Box
1,6940,1.8,Have You Seen the Listers?
1,7755,3.0,Popeye
1,2574,3.5,The Universe: Ancient Mysteries Solved
1,6293,2.1,Beyond the Clouds
1,699,3.5,Katla
1,5546,2.6,Five Nights in Maine
1,67,3.0,Saved by the Bell
1,4010,3.6,Jeff Dunham's Very Special Christmas Special
1,6500,2.9,Closed Circuit
2,6296,4.5,Bhagam Bhag
2,4621,2.2,Made in Mexico
2,7317,5.0,Little Singham aur Kaal ka Mahajaal
2,1637,3.6,Don’t Listen
2,1347,4.0,Black Beach
2,7334,3.0,Long Time Running
2,3730,3.9,The Wolf's Call
2,933,4.1,Hachi: A Dog's Tale
2,3406,2.2,Spirit Riding Free: Pony Tales
2,376,4.1,Transformers: War for Cybertron: Kingdom
2,4778,3.9,Drug Lords
2,2805,2.9,XV: Beyond the Tryline
2,5398,4.9,Liar's Dice
2,6608,4.5,Diary of a Chambermaid
2,5479,2.2,The Keepers
2,4582,3.8,Luv Shuv Tey Chicken Khurana
2,7599,2.5,NOVA: Bird Brain
2,4705,5.0,The Guernsey Literary and Potato Peel Pie Society
2,8550,3.8,The Walls of the Moon
2,5169,2.6,The Irregular at Magic High School
3,3690,3.9,Designated Survivor: 60 Days
3,4297,3.9,Kita Kita
3,4016,3.6,Turn Up Charlie
3,4492,2.3,Gnome Alone
3,1734,2.9,Midnight at the Magnolia
3,4438,2.9,Ghanchakkar
3,7418,2.2,Mary Portas: Secret Shopper
3,2531,5.0,Dilan 1990
3,7434,5.0,Meet the Trumps: From Immigrant to President
3,3983,2.3,ReMastered: The Miami Showband Massacre
3,2458,2.1,Kenny Sebastian: The Most Interesting Person in the Room
3,7433,4.4,Medium
3,6869,3.9,Goldstone
3,4147,3.8,Hantu Kak Limah
3,2278,2.7,Mary Kom
3,185,2.0,Untold: Crime & Penalties
3,3270,3.8,Inheritors
3,7274,2.4,Leap Year
3,3852,3.9,Abyss
3,2571,5.0,Mike Birbiglia: My Girlfriend's Boyfriend
4,2995,4.1,Airplane Mode
4,8336,2.0,The Guild
4,7790,5.0,Prelude to War
4,6141,4.3,American Hangman
4,8196,2.8,The Art of War
4,2938,2.1,Fifty: The Series
4,6355,3.8,Bombshell: The Hedy Lamarr Story
4,944,3.9,S.M.A.R.T Chase
4,1489,3.6,Regiment Diaries
4,7697,4.2,Painted Faces
4,2986,3.7,Sillu Karuppatti
4,7836,2.0,Reaction
4,3192,2.4,Eastsiders
4,1473,1.8,Chilling Adventures of Sabrina
4,2054,2.6,Chef's Table: BBQ
4,7640,3.7,OCTB
4,5322,2.6,Undefeated
4,3534,3.6,The Spy
4,3314,1.0,100 Things to do Before High School
4,7585,3.7,Nightcrawler
5,4944,3.9,Fary Is the New Black
5,8686,1.4,Waar
5,5686,3.4,The Cuba Libre Story
5,7893,4.0,Roots
5,5278,2.8,Apaches
5,6497,1.8,Click
5,4171,2.2,The Perfect Match
5,4280,2.5,Imperfect
5,2236,4.8,Little Singham: Legend of Dugabakka
5,3034,1.8,Giri / Haji
5,577,3.4,Masameer County
5,5956,4.1,Just Another Love Story
5,3656,3.0,Rookie Historian Goo Hae-Ryung
5,6580,5.0,Dear Dad
5,6745,3.0,Feel Rich
5,1679,5.0,Singham
5,4192,3.6,Revenger
5,7864,4.2,Revolting Rhymes
5,4154,3.5,High Society
5,2315,2.6,The F**k-It List
6,8629,1.0,Trimurti
6,7322,2.3,Lizzie Borden Took an Ax
6,1746,4.2,Can You Hear Me?
6,5168,2.1,Shot in the Dark
6,312,4.4,Cooking With Paris
6,4159,1.7,Rudy Habibie
6,8218,3.2,The Boss's Daughter
6,8702,4.8,Waterschool
6,5734,3.5,Santa Pac's Merry Berry Day
6,7433,2.2,Medium
6,5696,3.9,1000 Rupee Note
6,7615,2.7,NOVA: Secrets of the Shining Knight
6,6582,2.7,Dear Santa
6,4405,2.5,Super Drags
6,4787,2.4,Joan Rivers: Don't Start with Me
6,928,2.0,Best of the Best
6,8062,4.5,Space Racers
6,6175,3.7,Antidote
6,8679,1.5,ViR: The Robot Boy
6,8175,4.4,The 2000s
7,812,2.8,Swordfish
7,5418,2.7,Nobody Speak: Trials of the Free Press
7,6729,3.2,F the Prom
7,655,5.0,#Selfie 69
7,4530,5.0,Empire Games
7,7581,2.2,Next
7,2882,5.0,The Arbitration
7,6414,1.9,Can't Hardly Wait
7,5054,2.3,Under Arrest
7,8159,1.8,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
7,1087,5.0,Roohi
7,8297,2.8,The Figurine (Araromire)
7,5678,2.9,Ricardo O'Farrill: Abrazo navideño
7,8509,2.5,The Sinking Of Van Der Wijck
7,8274,1.1,The Detained
7,2482,1.4,Bye Bye London
7,3361,2.9,Tunnel
7,4234,2.4,Gina Yashere: Laughing to America
7,232,2.1,Wheel of Fortune
7,5033,4.7,FullMetal Alchemist
8,1042,4.4,Garth Brooks: The Road I’m On
8,6460,4.2,Chewing Gum
8,948,3.8,Swiped
8,4627,5.0,Battlefish
8,2684,3.6,The Innocence Files
8,6233,1.7,Barbecue
8,3803,2.3,A Tale of Two Kitchens
8,8803,3.2,Zombie Dumb
8,2459,3.1,Space Force
8,3597,2.8,Knightfall
8,6459,3.4,Chewin' the Fat
8,3690,3.4,Designated Survivor: 60 Days
8,5607,1.8,Katherine Ryan: In Trouble
8,8733,1.3,White Island
8,4979,2.6,Take Your Pills
